PersonaTurn_IsTalking|Persona_Turn_Negativity|UserTurn_IsAttentive|UserTurn_IsTalking|User_Turn_Negativity|User_Turn_Positivity|Time
0|0.015424830839037895|0.003385747317224741|0|0|0|203
0|0.012430766597390175|0.37160083651542664|0.003542752470821142|0.013425218872725964|0|203
0|0|0|0|0|0|205
0|0|0.4071475565433502|0|0.1303987056016922|0|209
0|0|0.009056822396814823|0|0|0|205
0|0|0|0|0|0|206
0|0.01215454377233982|0.7280930876731873|0.02948850393295288|0.13962872326374054|0|208
0|0.11081572622060776|0.743852436542511|0.002904401859268546|0.1567734032869339|0.029988279566168785|134
0|0.04707331955432892|0.8115527033805847|0.5057674050331116|0.11911678314208984|0|136
0|0.07311653345823288|0.34933680295944214|0|0|0|136
0|0|0.09798693656921387|0.023889416828751564|0|0|140
0|0|0.07468340545892715|0|0|0|139
0|0|0.8163283467292786|0.006786233279854059|0.06384361535310745|0.011122350580990314|142
0|0|0.41966119408607483|0.38192373514175415|0|0|138
0|0.020630503073334694|0.757142186164856|0.023658687248826027|0.44345784187316895|0|138
